test_name,elapsed_time
snappy_compression_5_10000000_1Kb,66.999
snappy_compression_5_10000000_1Kb,67.067
snappy_compression_5_10000000_1Kb,66.986
snappy_compression_5_10_500Mb,37.053
snappy_compression_5_10_500Mb,36.070
snappy_compression_5_10_500Mb,35.044
deflate_compression_5_1000000_1Kb,68.657
deflate_compression_5_1000000_1Kb,67.103
deflate_compression_5_1000000_1Kb,65.807
deflate_compression_5_5_500Mb,85.728
deflate_compression_5_5_500Mb,84.565
deflate_compression_5_5_500Mb,85.677
fibonacci_38,4.799
fibonacci_38,4.791
fibonacci_38,4.769
factorization_2147483647,11.587
factorization_2147483647,11.583
factorization_2147483647,11.584
recursive_hash_100000000_0,102.623
recursive_hash_100000000_0,102.519
recursive_hash_100000000_0,102.479
matrix_product_1_10_10000000,78.413
matrix_product_1_10_10000000,78.277
matrix_product_1_10_10000000,78.302
matrix_product_1_1000_100,63.839
matrix_product_1_1000_100,63.834
matrix_product_1_1000_100,63.882
svd_decomposition_1_10_2000000,28.655
svd_decomposition_1_10_2000000,28.736
svd_decomposition_1_10_2000000,28.758
svd_decomposition_1_500_100,66.945
svd_decomposition_1_500_100,66.934
svd_decomposition_1_500_100,85.934
qr_decomposition_1_10_10000000,26.892
qr_decomposition_1_10_10000000,26.881
qr_decomposition_1_10_10000000,26.882
qr_decomposition_1_1000_100,37.616
qr_decomposition_1_1000_100,37.624
qr_decomposition_1_1000_100,37.616
